SK_ID_CURR,prob_randomforest
101762,0.03
101764,0.01
101780,0.27
101784,0.01
101789,0.02
101816,0.01
101819,0.11
101827,0.0
101863,0.07
101867,0.06
101870,0.06
101873,0.17
101878,0.12
101879,0.18
101880,0.04
101887,0.11
101897,0.02
101901,0.06
101903,0.24
101920,0.07
101921,0.02
101922,0.16
101961,0.15
101962,0.07
101971,0.11
101976,0.18
102002,0.03
102005,0.01
102007,0.28
102017,0.01
102019,0.11
102029,0.03
102051,0.33
102052,0.02
102054,0.06
102062,0.04
102067,0.14
102068,0.15
102070,0.07
102090,0.11
102092,0.07
102099,0.08
102100,0.06
102112,0.06
102113,0.06
102122,0.17
102123,0.15
102125,0.02
102126,0.19
102146,0.11
102147,0.12
102151,0.07
102158,0.11
102159,0.01
102162,0.09
102165,0.07
102166,0.02
102174,0.06
102193,0.17
102198,0.02
102205,0.08
102206,0.03
102218,0.09
102221,0.03
102230,0.07
102238,0.1
102248,0.17
102252,0.19
102259,0.07
102262,0.17
102273,0.04
102286,0.08
102293,0.02
102294,0.05
102296,0.09
102298,0.06
102303,0.0
102309,0.11
102315,0.08
102340,0.08
102342,0.16
102344,0.04
102346,0.08
102347,0.03
102374,0.24
102380,0.07
102387,0.1
102393,0.04
102403,0.06
102413,0.07
102414,0.02
102415,0.03
102416,0.07
102439,0.03
102441,0.04
102443,0.05
102444,0.13
102445,0.18
102448,0.06
102449,0.08
102450,0.2
102456,0.01
102458,0.1
102459,0.04
102465,0.02
102470,0.14
102471,0.1
102475,0.08
102476,0.13
102506,0.17
102509,0.04
102519,0.06
102522,0.06
102545,0.05
102549,0.05
102562,0.02
102563,0.02
102568,0.08
102582,0.06
102592,0.05
102597,0.16
102605,0.05
102614,0.05
102617,0.12
102634,0.07
102652,0.01
102655,0.03
102671,0.03
102694,0.15
102701,0.1
102703,0.04
102704,0.0
102713,0.15
102720,0.19
102731,0.14
102733,0.03
102749,0.07
102755,0.03
102763,0.1
102770,0.08
102772,0.1
102799,0.2
102838,0.02
102854,0.01
102862,0.04
102863,0.02
102867,0.08
102868,0.07
102878,0.1
102887,0.07
102898,0.21
102904,0.09
102912,0.02
102919,0.02
102927,0.06
102932,0.05
102933,0.11
102935,0.04
102958,0.03
102969,0.12
102971,0.06
102975,0.02
102979,0.07
102982,0.03
102987,0.13
102989,0.08
102995,0.12
102996,0.11
103000,0.05
103001,0.16
103004,0.08
103010,0.1
103025,0.16
103029,0.14
103046,0.03
103056,0.07
103062,0.15
103078,0.09
103083,0.05
103092,0.02
103096,0.1
103097,0.2
103102,0.15
103112,0.16
103132,0.03
103144,0.11
103145,0.07
103146,0.02
103147,0.17
103158,0.03
103171,0.16
103173,0.08
103184,0.03
103195,0.18
103196,0.14
103206,0.06
103230,0.14
103231,0.21
103232,0.05
103239,0.09
103240,0.15
103243,0.11
103252,0.16
103258,0.05
103259,0.13
103279,0.06
103280,0.02
103286,0.04
103287,0.3
103290,0.01
103298,0.11
103315,0.01
103319,0.05
103334,0.07
103336,0.11
103345,0.01
103368,0.04
103371,0.17
103377,0.06
103398,0.02
103404,0.04
103408,0.3
103410,0.05
103418,0.07
103420,0.17
103432,0.11
103433,0.01
103436,0.02
103440,0.05
103453,0.01
103459,0.09
103460,0.07
103461,0.04
103462,0.13
103473,0.15
103474,0.0
103475,0.18
103478,0.18
103480,0.16
103484,0.03
103494,0.11
103513,0.28
103515,0.07
103516,0.29
103525,0.12
103541,0.2
103544,0.05
103562,0.21
103570,0.25
103572,0.13
103574,0.04
103575,0.07
103591,0.09
103594,0.04
103609,0.06
103613,0.09
103614,0.11
103615,0.11
103624,0.09
103625,0.13
103628,0.22
103629,0.07
103647,0.03
103648,0.09
103651,0.09
103658,0.06
103668,0.08
103669,0.11
103676,0.05
103682,0.02
103683,0.09
103689,0.06
103725,0.09
103733,0.14
103744,0.04
103762,0.11
103771,0.21
103773,0.07
103783,0.08
103784,0.08
103808,0.01
103812,0.05
103813,0.16
103814,0.09
103818,0.22
103824,0.09
103828,0.01
103830,0.15
103840,0.06
103842,0.25
103847,0.22
103848,0.18
103851,0.03
103854,0.07
103857,0.12
103861,0.01
103862,0.15
103865,0.08
103870,0.01
103876,0.03
103891,0.47
103908,0.04
103914,0.18
103918,0.05
103940,0.07
103963,0.12
103966,0.09
103971,0.1
103980,0.1
103984,0.06
103985,0.04
103998,0.23
104019,0.0
104026,0.02
104035,0.11
104044,0.07
104045,0.04
104047,0.24
104051,0.02
104058,0.08
104063,0.02
104066,0.14
104087,0.01
104089,0.05
104095,0.04
104098,0.24
104104,0.05
104110,0.21
104120,0.16
104122,0.03
104131,0.09
104132,0.1
104135,0.07
104136,0.02
104149,0.06
104150,0.06
104156,0.24
104165,0.15
104175,0.03
104179,0.13
104184,0.24
104206,0.03
104216,0.17
104230,0.19
104257,0.05
104272,0.08
104273,0.11
104278,0.04
104294,0.2
104295,0.09
104297,0.05
104298,0.09
104308,0.02
104318,0.04
104319,0.04
104320,0.09
104327,0.11
104334,0.18
104344,0.05
104350,0.02
104351,0.12
104354,0.11
104369,0.16
104376,0.09
104381,0.02
104384,0.09
104391,0.03
104394,0.04
104398,0.19
104402,0.05
104408,0.13
104409,0.04
104410,0.25
104412,0.07
104417,0.23
104424,0.11
104426,0.05
104435,0.04
104445,0.06
104458,0.03
104460,0.05
104466,0.08
104472,0.05
104473,0.13
104479,0.04
104480,0.04
104482,0.17
104499,0.01
104501,0.04
104502,0.06
104506,0.06
104510,0.03
104512,0.18
104520,0.15
104528,0.09
104529,0.03
104541,0.06
104578,0.13
104584,0.12
104588,0.11
104602,0.15
104610,0.03
104611,0.2
104618,0.07
104620,0.02
104622,0.07
104624,0.15
104625,0.05
104634,0.15
104639,0.11
104646,0.03
104647,0.04
104652,0.02
104670,0.04
104677,0.0
104685,0.18
104691,0.05
104696,0.07
104699,0.06
104712,0.11
104714,0.05
104717,0.08
104718,0.02
104740,0.08
104741,0.06
104743,0.02
104744,0.13
104747,0.11
104767,0.04
104772,0.26
104776,0.18
104779,0.03
104814,0.05
104815,0.05
104830,0.1
104831,0.08
104833,0.14
104839,0.06
104840,0.06
104860,0.15
104861,0.14
104866,0.06
104870,0.02
104877,0.13
104878,0.03
104879,0.09
104880,0.09
104899,0.05
104906,0.09
104907,0.06
104913,0.09
104916,0.08
104921,0.17
104930,0.04
104931,0.13
104936,0.04
104937,0.11
104942,0.03
104943,0.04
104969,0.13
104972,0.13
104988,0.1
105013,0.12
105015,0.04
105019,0.01
105027,0.05
105030,0.06
105035,0.28
105041,0.09
105051,0.13
105056,0.07
105067,0.35
105071,0.1
105072,0.03
105074,0.14
105091,0.1
105101,0.06
105103,0.06
105134,0.03
105139,0.02
105142,0.15
105146,0.06
105163,0.05
105168,0.12
105172,0.03
105176,0.32
105195,0.04
105196,0.16
105197,0.01
105203,0.07
105223,0.1
105227,0.17
105228,0.01
105230,0.09
105231,0.2
105239,0.1
105242,0.1
105244,0.03
105245,0.14
105248,0.03
105249,0.06
105266,0.14
105271,0.22
105276,0.06
105282,0.06
105292,0.08
105297,0.02
105332,0.04
105333,0.1
105343,0.03
105344,0.08
105345,0.1
105357,0.03
105359,0.05
105366,0.09
105367,0.05
105370,0.05
105377,0.06
105390,0.08
105399,0.07
105403,0.09
105404,0.08
105414,0.03
105417,0.1
105425,0.13
105452,0.18
105454,0.1
105456,0.07
105470,0.04
105471,0.03
105483,0.19
105493,0.17
105508,0.14
105514,0.04
105515,0.03
105528,0.28
105529,0.03
105531,0.03
105532,0.05
105558,0.07
105574,0.04
105578,0.01
105584,0.28
105595,0.19
105617,0.16
105618,0.15
105621,0.06
105625,0.12
105629,0.07
105630,0.02
105634,0.01
105635,0.04
105641,0.03
105647,0.02
105648,0.06
105655,0.06
105657,0.05
105672,0.06
105678,0.1
105682,0.14
105691,0.05
105692,0.07
105706,0.07
105712,0.08
105720,0.14
105734,0.04
105735,0.03
105736,0.22
105737,0.04
105738,0.08
105740,0.12
105744,0.08
105747,0.05
105749,0.15
105754,0.03
105758,0.09
105760,0.19
105767,0.11
105784,0.16
105791,0.09
105802,0.22
105807,0.3
105809,0.07
105816,0.05
105817,0.09
105824,0.17
105832,0.05
105856,0.03
105865,0.09
105899,0.16
105906,0.06
105916,0.08
105923,0.13
105937,0.11
105965,0.01
105966,0.16
105968,0.15
105973,0.06
105976,0.07
105978,0.02
105979,0.08
105991,0.09
105998,0.17
105999,0.04
106000,0.27
106001,0.07
106010,0.11
106011,0.09
106013,0.19
106015,0.07
106026,0.01
106032,0.09
106035,0.22
106040,0.12
106041,0.11
106044,0.05
106053,0.17
106054,0.08
106065,0.27
106081,0.12
106083,0.06
106087,0.01
106090,0.14
106101,0.1
106102,0.09
106109,0.07
106116,0.1
106150,0.05
106155,0.18
106166,0.02
106176,0.08
106189,0.04
106199,0.13
106205,0.12
106206,0.07
106211,0.09
106214,0.07
106216,0.09
106217,0.03
106225,0.04
106249,0.11
106256,0.15
106258,0.03
106261,0.05
106262,0.14
106264,0.02
106271,0.01
106276,0.02
106277,0.12
106286,0.11
106293,0.07
106295,0.04
106296,0.03
106297,0.11
106298,0.1
106311,0.06
106314,0.09
106320,0.04
106334,0.08
106346,0.04
106347,0.01
106349,0.06
106354,0.04
106360,0.0
106373,0.17
106377,0.04
106386,0.16
106387,0.09
106391,0.06
106401,0.27
106411,0.1
106413,0.25
106426,0.13
106427,0.12
106428,0.08
106434,0.11
106438,0.12
106440,0.05
106441,0.02
106452,0.11
106453,0.11
106454,0.05
106457,0.09
106484,0.08
106488,0.17
106491,0.1
106514,0.13
106527,0.13
106528,0.07
106529,0.01
106534,0.16
106550,0.24
106577,0.07
106585,0.16
106590,0.0
106607,0.03
106610,0.13
106611,0.04
106612,0.08
106624,0.04
106631,0.03
106647,0.35
106660,0.13
106674,0.1
106687,0.12
106712,0.03
106713,0.04
106717,0.08
106720,0.16
106721,0.16
106724,0.06
106735,0.15
106739,0.02
106740,0.05
106754,0.09
106760,0.27
106761,0.14
106784,0.16
106787,0.07
106797,0.03
106798,0.04
106802,0.14
106803,0.07
106804,0.19
106805,0.04
106810,0.08
106812,0.18
106813,0.09
106817,0.14
106822,0.07
106823,0.04
106827,0.04
106841,0.08
106851,0.27
106852,0.11
106853,0.19
106854,0.35
106861,0.17
106873,0.07
106877,0.0
106878,0.03
106881,0.07
106900,0.01
106906,0.06
106907,0.16
106914,0.21
106916,0.03
106924,0.11
106931,0.06
106936,0.11
106937,0.16
106938,0.01
106939,0.11
106943,0.19
106944,0.24
106967,0.07
106980,0.07
106986,0.12
106987,0.06
106990,0.05
107013,0.04
107023,0.06
107033,0.06
107037,0.21
107048,0.06
107071,0.05
107081,0.03
107113,0.24
107130,0.08
107131,0.03
107145,0.07
107156,0.1
107219,0.1
107222,0.07
107223,0.31
107232,0.13
107245,0.09
107246,0.04
107247,0.07
107256,0.02
107259,0.02
107260,0.02
107279,0.13
107280,0.02
107281,0.09
107285,0.09
107329,0.06
107337,0.2
107349,0.06
107350,0.06
107351,0.02
107359,0.15
107391,0.13
107394,0.09
107395,0.02
107406,0.05
107416,0.04
107417,0.04
107418,0.08
107419,0.02
107444,0.03
107445,0.05
107446,0.06
107460,0.04
107470,0.08
107475,0.09
107520,0.07
107526,0.08
107527,0.04
107530,0.02
107532,0.1
107534,0.12
107535,0.15
107554,0.27
107556,0.02
107559,0.08
107561,0.03
107564,0.14
107566,0.06
107571,0.09
107590,0.14
107602,0.18
107625,0.04
107626,0.26
107635,0.05
107636,0.05
107645,0.09
107652,0.16
107655,0.07
107668,0.07
107670,0.02
107677,0.01
107680,0.2
107683,0.16
107684,0.02
107691,0.04
107692,0.08
107703,0.06
107709,0.04
107710,0.05
107721,0.21
107725,0.12
107727,0.03
107739,0.01
107740,0.12
107741,0.06
107747,0.07
107765,0.42
107768,0.03
107775,0.17
107782,0.21
107790,0.03
107801,0.01
107807,0.07
107811,0.08
107817,0.04
107826,0.04
107838,0.11
107839,0.04
107843,0.05
107847,0.11
107849,0.12
107850,0.05
107867,0.1
107871,0.07
107908,0.03
107913,0.14
107927,0.02
107931,0.02
107955,0.05
107962,0.1
107977,0.02
107978,0.09
107993,0.04
108010,0.07
108016,0.03
108018,0.31
108027,0.19
108045,0.29
108069,0.2
108082,0.04
108089,0.07
108092,0.03
108106,0.04
108112,0.07
108120,0.18
108122,0.28
108135,0.13
108170,0.03
108171,0.07
108177,0.03
108180,0.12
108183,0.09
108184,0.06
108185,0.08
108192,0.05
108195,0.18
108196,0.11
108218,0.02
108219,0.19
108243,0.1
108249,0.01
108251,0.02
108274,0.07
108280,0.35
108289,0.07
108292,0.08
108295,0.03
108327,0.08
108332,0.04
108346,0.03
108349,0.09
108353,0.1
108362,0.06
108363,0.07
108377,0.34
108378,0.21
108381,0.02
108383,0.13
108390,0.06
108407,0.03
108408,0.1
108411,0.07
108412,0.07
108419,0.08
108436,0.22
108437,0.18
108438,0.09
108441,0.08
108448,0.07
108449,0.06
108466,0.05
108467,0.12
108473,0.05
108474,0.05
108476,0.12
108479,0.03
108486,0.02
108493,0.03
108501,0.0
108506,0.17
108510,0.21
108511,0.12
108514,0.08
108517,0.05
108519,0.17
108522,0.01
108548,0.13
108554,0.13
108555,0.15
108559,0.04
108562,0.05
108571,0.02
108572,0.02
108579,0.06
108583,0.01
108584,0.05
108592,0.07
108602,0.05
108609,0.06
108613,0.1
108616,0.08
108618,0.08
108620,0.05
108643,0.03
108649,0.0
108654,0.06
108655,0.02
108656,0.06
108667,0.08
108668,0.12
108682,0.08
108690,0.08
108691,0.13
108692,0.07
108695,0.11
108699,0.05
108710,0.12
108718,0.2
108739,0.16
108740,0.05
108741,0.03
108742,0.14
108763,0.1
108767,0.11
108769,0.15
108779,0.19
108788,0.03
108801,0.03
108802,0.05
108810,0.07
108811,0.02
108813,0.05
108814,0.1
108825,0.05
108826,0.15
108830,0.04
108834,0.0
108852,0.11
108887,0.19
108901,0.2
108908,0.04
108910,0.05
108920,0.1
108922,0.06
108929,0.11
108930,0.11
108937,0.15
108938,0.04
108943,0.13
108948,0.04
108953,0.04
108956,0.11
108965,0.09
108985,0.21
108986,0.09
108987,0.01
108990,0.05
108991,0.12
108993,0.19
109000,0.13
109001,0.11
109012,0.21
109014,0.07
109015,0.1
109021,0.05
109037,0.02
109042,0.16
109044,0.04
109046,0.26
109064,0.01
109084,0.04
109086,0.01
109092,0.0
109093,0.19
109100,0.08
109101,0.04
109110,0.12
109114,0.1
109126,0.21
109152,0.07
109162,0.07
109167,0.04
109168,0.12
109169,0.01
109179,0.15
109184,0.08
109191,0.11
109192,0.06
109193,0.07
109196,0.08
109206,0.07
109210,0.02
109244,0.13
109249,0.03
109273,0.02
109276,0.21
109281,0.07
109287,0.07
109297,0.21
109298,0.02
109306,0.04
109309,0.06
109321,0.15
109328,0.23
109336,0.13
109342,0.04
109346,0.07
109347,0.05
109348,0.17
109362,0.08
109363,0.05
109367,0.03
109370,0.07
109393,0.06
109405,0.04
109413,0.08
109414,0.28
109421,0.0
109427,0.12
109428,0.02
109429,0.18
109437,0.02
109443,0.04
109461,0.04
109468,0.06
109469,0.09
109471,0.11
109479,0.05
109484,0.03
109501,0.11
109505,0.09
109535,0.04
109539,0.03
109544,0.11
109545,0.01
109551,0.14
109553,0.06
109555,0.02
109561,0.07
109580,0.07
109583,0.26
109593,0.16
109604,0.11
109620,0.06
109635,0.08
109637,0.26
109638,0.11
109642,0.12
109649,0.06
109652,0.08
109656,0.06
109663,0.09
109696,0.24
109700,0.14
109709,0.07
109735,0.08
109740,0.03
109741,0.16
109749,0.08
109764,0.01
109771,0.18
109772,0.01
109773,0.21
109798,0.12
109802,0.15
109804,0.07
109813,0.03
109818,0.13
109848,0.08
109850,0.0
109851,0.06
109855,0.03
109871,0.26
109877,0.06
109883,0.06
109886,0.03
109905,0.07
109936,0.18
109950,0.09
109958,0.11
109959,0.11
109969,0.05
109971,0.11
109984,0.07
109985,0.23
109988,0.04
109992,0.05
110005,0.06
110009,0.05
110011,0.21
110014,0.1
110026,0.04
110042,0.08
110058,0.03
110069,0.12
110080,0.02
110087,0.09
110091,0.08
110094,0.01
110098,0.24
110105,0.14
110117,0.1
110136,0.06
110138,0.18
110149,0.1
110164,0.14
110202,0.13
110212,0.01
110226,0.0
110236,0.05
110249,0.02
110257,0.12
110258,0.02
110277,0.05
110282,0.12
110284,0.03
110286,0.05
110289,0.02
110304,0.03
110319,0.03
110324,0.05
110326,0.07
110335,0.06
110337,0.08
110338,0.01
110343,0.04
110345,0.04
110347,0.11
110355,0.01
110359,0.07
110360,0.1
110364,0.08
110371,0.17
110372,0.03
110376,0.09
110379,0.14
110380,0.03
110393,0.04
110401,0.22
110406,0.02
110411,0.04
110416,0.06
110420,0.05
110443,0.03
110465,0.01
110468,0.03
110469,0.06
110471,0.16
110487,0.21
110491,0.04
110504,0.07
110547,0.05
110550,0.02
110559,0.16
110578,0.14
110582,0.09
110590,0.09
110598,0.21
110601,0.2
110602,0.06
110604,0.07
110625,0.21
110626,0.22
110636,0.18
110637,0.15
110638,0.11
110646,0.09
110648,0.05
110652,0.11
110681,0.08
110682,0.06
110687,0.2
110691,0.03
110694,0.05
110695,0.05
110696,0.13
110708,0.01
110710,0.03
110717,0.14
110730,0.08
110740,0.06
110742,0.03
110747,0.01
110761,0.02
110766,0.02
110769,0.07
110774,0.07
110803,0.03
110805,0.05
110809,0.21
110827,0.11
110832,0.07
110839,0.06
110859,0.13
110861,0.01
110863,0.19
110865,0.22
110881,0.13
110889,0.04
110891,0.02
110894,0.02
110895,0.13
110907,0.21
110914,0.11
110933,0.02
110934,0.02
110937,0.01
110953,0.03
110954,0.05
110958,0.19
110970,0.12
110974,0.1
110977,0.1
110989,0.06
110993,0.31
110994,0.17
111018,0.02
111019,0.04
111030,0.07
111032,0.07
111041,0.03
111045,0.1
111048,0.07
111052,0.06
111070,0.15
111084,0.09
111091,0.08
111104,0.08
111108,0.06
111112,0.06
111127,0.08
111142,0.05
111146,0.09
111165,0.04
111168,0.03
111169,0.21
111172,0.02
111173,0.01
111174,0.16
111175,0.18
111176,0.0
111177,0.07
111180,0.03
111182,0.03
111192,0.05
111194,0.13
111196,0.12
111197,0.04
111198,0.01
111205,0.04
111207,0.03
111222,0.04
111228,0.04
111233,0.08
111256,0.04
111258,0.04
111262,0.05
111263,0.09
111267,0.05
111269,0.15
111276,0.06
111277,0.25
111279,0.07
111290,0.02
111294,0.05
111295,0.09
111315,0.22
111318,0.15
111327,0.05
111328,0.12
111332,0.1
111338,0.03
111343,0.1
111344,0.03
111345,0.31
111347,0.06
111356,0.04
111359,0.08
111367,0.0
111368,0.04
111391,0.13
111408,0.02
111412,0.04
111419,0.13
111422,0.02
111423,0.2
111439,0.02
111452,0.31
111456,0.05
111467,0.1
111478,0.17
111482,0.1
111488,0.13
111503,0.13
111510,0.01
111512,0.02
111518,0.05
111532,0.18
111537,0.02
111541,0.09
111544,0.01
111550,0.03
111554,0.14
111560,0.11
111566,0.16
111567,0.16
111592,0.08
111618,0.15
111620,0.04
111627,0.04
111641,0.1
111646,0.22
111652,0.04
111657,0.03
111664,0.1
111665,0.05
111669,0.03
111673,0.01
111687,0.05
111688,0.01
111689,0.04
111694,0.08
111695,0.1
111698,0.15
111703,0.03
111709,0.01
111712,0.03
111715,0.09
111724,0.11
111730,0.05
111747,0.07
111760,0.08
111761,0.05
111763,0.08
111776,0.1
111777,0.02
111781,0.1
111793,0.07
111804,0.26
111810,0.28
111816,0.05
111818,0.03
111830,0.08
111832,0.05
111841,0.03
111842,0.07
111843,0.09
111846,0.05
111848,0.14
111856,0.05
111857,0.05
111877,0.04
111882,0.06
111883,0.15
111891,0.08
111893,0.02
111901,0.02
111912,0.08
111913,0.0
111955,0.04
111958,0.04
111960,0.07
111967,0.08
112000,0.19
112003,0.23
112015,0.14
112019,0.22
112020,0.08
112028,0.05
112029,0.1
112031,0.07
112039,0.05
112042,0.05
112049,0.04
112052,0.11
112054,0.05
112055,0.06
112063,0.08
112070,0.07
112071,0.14
112080,0.05
112083,0.13
112085,0.08
112089,0.08
112098,0.28
112100,0.03
112105,0.1
112124,0.03
112126,0.08
112127,0.12
112128,0.13
112148,0.06
112149,0.02
112165,0.11
112170,0.08
112171,0.06
112176,0.05
112186,0.02
112199,0.06
112203,0.06
112214,0.07
112215,0.06
112216,0.05
112224,0.1
112225,0.02
112231,0.34
112234,0.2
112235,0.0
112236,0.1
112254,0.14
112265,0.05
112271,0.01
112284,0.09
112287,0.14
112295,0.15
112303,0.17
112307,0.08
112310,0.04
112312,0.13
112313,0.03
112326,0.1
112333,0.08
112334,0.07
112339,0.03
112347,0.07
112350,0.09
112356,0.16
112357,0.1
112359,0.1
112360,0.17
112371,0.14
112385,0.03
112392,0.05
112401,0.19
112405,0.04
112414,0.22
112429,0.05
112448,0.02
112467,0.07
112468,0.1
112469,0.12
112491,0.14
112500,0.1
112510,0.25
112535,0.12
112537,0.1
112551,0.14
112552,0.11
112556,0.18
112577,0.19
112590,0.03
112593,0.01
112596,0.08
112601,0.05
112604,0.08
112622,0.05
112655,0.04
112663,0.02
112667,0.03
112670,0.03
112676,0.11
112677,0.08
112679,0.01
112683,0.05
112688,0.05
112692,0.14
112696,0.16
112702,0.12
112709,0.01
112720,0.05
112735,0.06
112738,0.09
112742,0.08
112748,0.12
112749,0.03
112766,0.09
112767,0.04
112769,0.06
112771,0.06
112775,0.03
112794,0.1
112795,0.01
112796,0.15
112815,0.09
112817,0.14
112821,0.12
112822,0.07
112829,0.13
112831,0.17
112835,0.04
112838,0.03
112842,0.05
112844,0.21
112845,0.02
112846,0.01
112847,0.02
112867,0.08
112868,0.03
112874,0.02
112879,0.04
112882,0.07
112886,0.08
112895,0.08
112896,0.2
112902,0.1
112904,0.01
112917,0.29
112932,0.2
112944,0.06
112946,0.07
112947,0.05
112948,0.03
112966,0.08
112967,0.05
112971,0.06
112973,0.22
112974,0.06
112978,0.11
112988,0.01
112992,0.18
113003,0.08
113004,0.05
113007,0.25
113020,0.15
113025,0.18
113032,0.03
113042,0.17
113047,0.04
113066,0.03
113067,0.18
113071,0.07
113087,0.19
113108,0.06
113109,0.03
113123,0.03
113128,0.31
113134,0.09
113151,0.06
113175,0.3
113181,0.03
113188,0.22
113191,0.03
113193,0.23
113201,0.16
113209,0.06
113222,0.07
113248,0.0
113272,0.08
113276,0.05
113287,0.02
113302,0.08
113308,0.07
113316,0.1
113318,0.13
113320,0.08
113322,0.29
113325,0.12
113326,0.11
113332,0.09
113346,0.29
113352,0.03
113361,0.1
113362,0.02
113365,0.07
113366,0.02
113368,0.03
113382,0.03
113385,0.09
113390,0.15
113391,0.06
113393,0.11
113396,0.14
113397,0.09
113402,0.05
113403,0.03
113405,0.14
113406,0.11
113410,0.35
113413,0.06
113418,0.04
113419,0.17
113435,0.23
113438,0.16
113447,0.02
113458,0.19
113466,0.12
113475,0.1
113482,0.11
113490,0.08
113505,0.0
113508,0.16
113520,0.04
113532,0.09
113535,0.09
113549,0.09
113557,0.13
113558,0.11
113561,0.06
113566,0.03
113569,0.04
113574,0.02
113576,0.2
113577,0.05
113585,0.1
113587,0.15
113599,0.09
113601,0.11
113602,0.09
113605,0.08
113609,0.18
113611,0.06
113616,0.05
113627,0.48
113631,0.17
113643,0.12
113652,0.09
113657,0.09
113659,0.03
113672,0.06
113680,0.07
113692,0.07
113694,0.12
113695,0.15
113701,0.06
113733,0.04
113738,0.15
113740,0.2
113742,0.03
113777,0.09
113783,0.08
113788,0.15
113789,0.03
113791,0.11
113795,0.06
113799,0.15
113805,0.03
113820,0.07
113822,0.04
113824,0.02
113829,0.06
113832,0.02
113833,0.06
113841,0.04
113849,0.1
113862,0.19
113863,0.14
113864,0.06
113870,0.03
113875,0.01
113882,0.03
113887,0.15
113894,0.02
113909,0.02
113930,0.11
113936,0.07
113939,0.03
113942,0.05
113943,0.11
113945,0.12
113947,0.06
113950,0.06
113951,0.05
113957,0.08
113966,0.2
113967,0.1
113977,0.03
113984,0.12
113986,0.04
113992,0.07
113998,0.03
113999,0.27
